77.158.173.15,170655.235330333,46,3,#007bff
77.158.173.10,170661.490644714,25,45,#007bff
77.158.173.9,170662.037227754,43,46,#ff5a5f
77.158.173.8,170662.43668343,18,67,#28a745
77.158.173.9,170668.45099086,42,46,#ff5a5f
77.158.173.9,170674.610443497,41,46,#ff5a5f
118.167.11.45,170678.689776264,38,72,#ff5a5f
77.158.173.9,170680.501627211,40,46,#ff5a5f
77.158.173.15,170682.296366371,11,54,#007bff
77.158.173.10,170682.914938494,33,63,#7b3f00
118.167.11.45,170684.545102294,47,55,#ff5a5f
77.158.173.9,170686.691394565,39,46,#ff5a5f
118.167.11.45,170692.423627788,43,60,#ff5a5f
77.158.173.9,170694.113501809,38,46,#ff5a5f
77.158.173.14,170694.207621209,12,12,#007bff
77.158.173.8,170695.427374414,26,59,#ff5a5f
77.158.173.14,170699.554750062,14,12,#007bff
77.158.173.9,170700.342296874,38,47,#ff5a5f
77.158.173.8,170700.763346692,17,29,#ff5a5f
37.169.112.218,170702.157777571,40,26,#ff5a5f
118.167.11.45,170702.754034207,49,37,#ff5a5f
77.158.173.9,170706.793496566,38,48,#ff5a5f
77.158.173.8,170707.441517235,33,4,#343a40
77.158.173.15,170708.957979537,38,48,#ff6b6b
118.167.11.45,170709.842797837,39,48,#ff5a5f
77.158.173.9,170712.297771735,40,48,#ff5a5f
118.167.11.45,170715.378152814,40,48,#ff5a5f
77.158.173.8,170716.448863735,34,4,#343a40
77.158.173.9,170718.455198547,41,48,#ff5a5f
118.167.11.45,170720.831545978,43,49,#ff5a5f
77.158.173.9,170724.231911355,43,48,#ff5a5f
77.158.173.8,170724.73072858,35,4,#343a40
118.167.11.45,170728.314273978,46,48,#ff5a5f
77.158.173.9,170729.933972952,42,48,#ff5a5f
77.158.173.15,170732.890345641,43,51,#ff6b6b
77.158.173.8,170733.851876497,36,4,#343a40
118.167.11.45,170734.898059083,43,54,#ff5a5f
77.158.173.9,170735.401378214,43,49,#f8f9fa
77.158.173.13,170738.225271145,22,32,#ff5a5f
77.158.173.9,170741.874175305,42,51,#ff6b6b
118.167.11.45,170742.131550233,43,50,#ff5a5f
77.158.173.8,170742.186494411,37,4,#343a40
77.158.173.15,170742.46919742,22,21,#ff6b6b
118.167.11.45,170747.408884607,43,53,#ff5a5f
77.158.173.13,170747.504463884,32,20,#28a745
77.158.173.8,170748.32411924,38,4,#343a40
77.158.173.9,170750.359234443,43,47,#ff6b6b
77.158.173.13,170753.858553399,31,20,#28a745
77.158.173.8,170755.058926882,39,5,#343a40
87.88.165.102,170758.87220886,31,54,#ff5a5f
77.158.173.13,170759.405667149,30,20,#28a745
77.158.173.8,170763.732169758,40,6,#343a40
77.158.173.14,170764.366619097,0,0,#343a40
77.158.173.13,170764.874473374,30,22,#28a745
77.158.173.15,170765.634562436,32,5,#343a40
87.88.165.102,170766.312845735,37,57,#ff5a5f
77.158.173.14,170769.96886495,1,0,#343a40
77.158.173.13,170770.49627099,32,23,#28a745
77.158.173.8,170772.254111685,41,7,#343a40
87.88.165.102,170772.71091985,31,55,#ff5a5f
77.158.173.15,170774.024823836,31,6,#343a40
77.158.173.14,170775.697371888,2,0,#343a40
77.158.173.8,170777.410221359,20,17,#ff5a5f
77.136.67.79,170777.971970111,40,59,#ff5a5f
87.88.165.102,170778.572598038,31,56,#ff5a5f
77.158.173.14,170780.815686642,3,0,#343a40
77.158.173.8,170782.529933021,42,8,#343a40
77.158.173.14,170786.117971048,4,0,#343a40
87.88.165.102,170786.604790967,32,57,#ff5a5f
77.158.173.8,170789.470348935,43,91,#b19cd9
77.158.173.14,170792.580836619,5,0,#343a40
87.88.165.102,170796.284180673,33,57,#ff5a5f
77.158.173.14,170797.840987611,6,0,#343a40
77.158.173.8,170801.138504973,42,9,#343a40
77.158.173.15,170802.036456912,30,7,#343a40
87.88.165.102,170803.434514799,33,56,#ff5a5f
77.158.173.14,170803.60025678,1,90,#d4af37
77.158.173.8,170807.396887525,42,10,#343a40
87.88.165.102,170809.062472774,31,58,#ff5a5f
77.158.173.14,170814.507677135,44,46,#ff5a5f
77.158.173.8,170815.915203774,42,11,#343a40
